TahunKelulusan,JK,Prodi,Jenis,Jurusan,Ayah,Ibu,Hasil,UN,IPK
2015,Perempuan,Matematika,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,MENENGAH,DASAR,500-1.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Matematika,MAN,IPS,DASAR,DASAR,100-500,Kurang,Cumlaude
2015,Laki-laki,Matematika,MAN,IPS,DASAR,MENENGAH,1.000-2.000,Baik,Cumlaude
2015,Laki-laki,Matematika,MAN,IPS,MENENGAH,DASAR,100-500,Kurang,Cumlaude
2015,Laki-laki,Peternakan,SMAN,IPA,TINGGI,MENENGAH,5.000-20.000,Cukup,Sangat Memuaskan
2015,Perempuan,Peternakan,SMKS,TEKNIK,TINGGI,TINGGI,5.000-20.000,Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
2015,Laki-laki,Peternakan,MAS,IPS,MENENGAH,MENENGAH,100-500,Cukup,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,PWK,MAN,IPA,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Sangat Baik,Sangat Memuaskan
2015,Perempuan,Biologi,SMKS,TEKNIK,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
2015,Perempuan,Kimia,SMAS,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
2015,Perempuan,Kimia,SMKS,TEKNIK,MENENGAH,MENENGAH,500-1.000,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,DASAR,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMKN,TEKNIK,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPA,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPS,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,TINGGI,TINGGI,5.000-20.000,Sangat Baik,Cukup
2015,Laki-laki,PWK,SMAN,IPA,DASAR,MENENGAH,1.000-2.000,Cukup,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Sangat Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
2015,Perempuan,PWK,SMKS,TEKNIK,MENENGAH,MENENGAH,500-1.000,Kurang,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,DASAR,DASAR,100-500,Sangat Baik,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
2015,Laki-laki,TI,SMKS,TEKNIK,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
