TahunKelulusan,JK,Prodi,Jenis,Jurusan,Ayah,Ibu,Hasil,UN,IPK
2015,Perempuan,Matematika,SMAN,IPA,Menengah,Dasar,500-1.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Matematika,MAN,IPS,Dasar,Dasar,100-500,Kurang,Cumlaude
2015,Laki-laki,Matematika,MAN,IPS,Dasar,Menengah,1.000-2.000,Baik,Cumlaude
2015,Laki-laki,Matematika,MAN,IPS,Menengah,Dasar,100-500,Kurang,Cumlaude
2015,Laki-laki,Peternakan,SMAN,IPA,Tinggi,Menengah,5.000-20.000,Cukup,Sangat Memuaskan
2015,Perempuan,Peternakan,SMKS,Teknik,Tinggi,Tinggi,5.000-20.000,Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,Menengah,Tinggi,2.000-5.000,Sangat Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,Menengah,Tinggi,2.000-5.000,Sangat Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,Menengah,Tinggi,2.000-5.000,Sangat Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,Menengah,Tinggi,2.000-5.000,Sangat Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,Menengah,Tinggi,2.000-5.000,Sangat Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,Menengah,Tinggi,2.000-5.000,Sangat Baik,Cumlaude
2015,Perempuan,Peternakan,SMAN,IPA,Menengah,Tinggi,2.000-5.000,Sangat Baik,Cumlaude
2015,Laki-laki,Peternakan,MAS,IPS,Menengah,Menengah,100-500,Cukup,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,Tinggi,Menengah,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,PWK,MAN,IPA,Tinggi,Tinggi,2.000-5.000,Kurang,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Sangat Baik,Sangat Memuaskan
2015,Perempuan,Biologi,SMKS,Teknik,Dasar,Dasar,500-1.000,Baik,Sangat Memuaskan
2015,Perempuan,Kimia,SMAS,IPA,Tinggi,Tinggi,2.000-5.000,Baik,Sangat Memuaskan
2015,Perempuan,Kimia,SMKS,Teknik,Menengah,Menengah,500-1.000,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,Dasar,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMKN,Teknik,Tinggi,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,Dasar,Dasar,100-500,Kurang,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPA,Dasar,Dasar,500-1.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPS,Dasar,Dasar,500-1.000,Baik,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,Tinggi,Tinggi,5.000-20.000,Sangat Baik,Cukup
2015,Laki-laki,PWK,SMAN,IPA,Dasar,Menengah,1.000-2.000,Cukup,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,Menengah,Menengah,2.000-5.000,Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,Menengah,Menengah,2.000-5.000,Sangat Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,Dasar,Dasar,100-500,Baik,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,Tinggi,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Baik,Sangat Memuaskan
2015,Perempuan,PWK,SMKS,Teknik,Menengah,Menengah,500-1.000,Kurang,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,Dasar,Dasar,100-500,Sangat Baik,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,Menengah,Menengah,1.000-2.000,Baik,Sangat Memuaskan
2015,Laki-laki,TI,SMKS,Teknik,Tinggi,Tinggi,1.000-2.000,Baik,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,Menengah,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,Dasar,Dasar,100-500,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,MAN,IPA,Menengah,Dasar,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,Tinggi,Tinggi,1.000-2.000,Kurang,Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,MAN,IPA,Tinggi,Tinggi,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,Dasar,Menengah,100-500,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMKN,Teknik,Dasar,Dasar,100-500,Kurang,Sangat Memuaskan
2015,Perempuan,TI,SMAN,IPA,Dasar,Menengah,2.000-5.000,Baik,Sangat Memuaskan
2015,Perempuan,TI,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Baik,Sangat Memuaskan
2015,Perempuan,TI,SMKN,Ekonomi,Dasar,Menengah,100-500,Sangat Baik,Sangat Memuaskan
2015,Perempuan,Biologi,SMAN,IPA,Dasar,Dasar,500-1.000,Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,Menengah,Menengah,500-1.000,Baik,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,Menengah,Dasar,1.000-2.000,Sangat Baik,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,Tinggi,Menengah,1.000-2.000,Sangat Baik,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,Tinggi,Menengah,2.000-5.000,Sangat Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMKN,Ekonomi,Menengah,Dasar,100-500,Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,Dasar,Dasar,500-1.000,Kurang,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,Menengah,Dasar,1.000-2.000,Baik,Sangat Memuaskan
2015,Perempuan,SI,SMKN,Ekonomi,Menengah,Menengah,1.000-2.000,Cukup,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,Menengah,Dasar,100-500,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMKN,Teknik,Tinggi,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMKN,Teknik,Tinggi,Menengah,1.000-2.000,Sangat Baik,Memuaskan
2015,Laki-laki,TI,MAS,IPS,Menengah,Menengah,1.000-2.000,Kurang,Cukup
2015,Laki-laki,TI,SMAN,IPS,Menengah,Menengah,1.000-2.000,Kurang,Memuaskan
2015,Perempuan,TI,MAS,IPA,Tinggi,Tinggi,1.000-2.000,Baik,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,Menengah,Dasar,1.000-2.000,Kurang,Sangat Memuaskan
