jenis_kelamin,prodi,smta,jurusan,ayah,ibu,pendapatan,UN,IPK
Perempuan,Kimia,SMAS,IPS,DASAR,DASAR,2.000-5.000,Cukup,Memuaskan
Perempuan,Kimia,SMAN,IPA,TINGGI,MENENGAH,5.000-20.000,Cukup,Sangat Memuaskan
Perempuan,Kimia,SMKS,TEKNIK,DASAR,DASAR,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,Matematika,MAN,IPA,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,MENENGAH,100-500,Cukup,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,100-500,Cukup,Sangat Memuaskan
Laki-laki,PWK,MAN,IPA,DASAR,DASAR,2.000-5.000,Cukup,Sangat Memuaskan
Laki-laki,PWK,MAN,IPA,MENENGAH,MENENGAH,100-500,Cukup,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,MENENGAH,TINGGI,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,MENENGAH,TINGGI,5.000-20.000,Cukup,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Cukup,Sangat Memuaskan
Laki-laki,Matematika,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Laki-laki,Matematika,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,Matematika,SMAS,IPS,DASAR,DASAR,2.000-5.000,Cukup,Memuaskan
Laki-laki,Matematika,MAN,IPA,TINGGI,MENENGAH,2.000-5.000,Cukup,Sangat Memuaskan
Laki-laki,Matematika,SMAN,IPA,TINGGI,TINGGI,500-1.000,Kurang,Sangat Memuaskan
Laki-laki,Matematika,SMKS,TEKNIK,DASAR,DASAR,500-1.000,Cukup,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,100-500,Cukup,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,DASAR,MENENGAH,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,Peternakan,SMAN,IPA,DASAR,DASAR,100-500,Cukup,Sangat Memuaskan
Perempuan,Peternakan,SMKN,TEKNIK,MENENGAH,MENENGAH,100-500,Cukup,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,Kimia,SMAS,IPS,TINGGI,MENENGAH,5.000-20.000,Cukup,Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,DASAR,DASAR,1.000-2.000,Cukup,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,MENENGAH,MENENGAH,100-500,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,MENENGAH,DASAR,500-1.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,DASAR,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,DASAR,MENENGAH,1.000-2.000,Baik,Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,MENENGAH,MENENGAH,100-500,Kurang,Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,MENENGAH,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Cukup,Sangat Memuaskan
Laki-laki,Arsitektur,SMAS,IPA,TINGGI,TINGGI,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,TINGGI,TINGGI,2.000-5.000,Kurang,Memuaskan
Perempuan,Arsitektur,MAS,IPA,DASAR,DASAR,500-1.000,Cukup,Sangat Memuaskan
Laki-laki,Arsitektur,SMAS,IPS,MENENGAH,MENENGAH,2.000-5.000,Cukup,Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Laki-laki,Arsitektur,SMAS,IPA,DASAR,MENENGAH,100-500,Cukup,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,MENENGAH,DASAR,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,TINGGI,DASAR,2.000-5.000,Cukup,Sangat Memuaskan
Laki-laki,TI,MAN,IPA,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,TI,SMAS,IPS,MENENGAH,DASAR,500-1.000,Cukup,Memuaskan
Perempuan,TI,SMAN,IPA,TINGGI,TINGGI,5.000-20.000,Kurang,Sangat Memuaskan
Perempuan,TI,SMKN,TEKNIK,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,TI,MAN,IPA,TINGGI,TINGGI,5.000-20.000,Cukup,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,DASAR,MENENGAH,500-1.000,Cukup,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Cukup,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,TI,SMAS,IPA,TINGGI,DASAR,5.000-20.000,Cukup,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Cukup,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,MENENGAH,TINGGI,5.000-20.000,Cukup,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,TI,SMAS,IPS,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Laki-laki,TI,SMKS,TEKNIK,DASAR,DASAR,500-1.000,Cukup,Sangat Memuaskan
Laki-laki,TI,MAN,IPA,MENENGAH,DASAR,5.000-20.000,Cukup,Sangat Memuaskan
Laki-laki,Biologi,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPS,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Cukup,Sangat Memuaskan
Perempuan,Biologi,SMAS,IPA,MENENGAH,DASAR,500-1.000,Cukup,Sangat Memuaskan
Perempuan,Biologi,MAN,IPA,MENENGAH,DASAR,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,Biologi,MAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Cukup,Sangat Memuaskan
Laki-laki,Biologi,MAN,IPA,TINGGI,TINGGI,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPA,DASAR,DASAR,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Laki-laki,Fisika,MAN,IPA,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,Fisika,MAN,IPA,DASAR,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,TINGGI,MENENGAH,5.000-20.000,Kurang,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Laki-laki,Fisika,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Cukup,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,TINGGI,DASAR,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,MENENGAH,TINGGI,500-1.000,Kurang,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,DASAR,DASAR,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,Fisika,SMKS,TEKNIK,DASAR,MENENGAH,2.000-5.000,Kurang,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,DASAR,DASAR,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,Fisika,SMAN,IPA,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
Laki-laki,Fisika,SMAN,IPA,MENENGAH,MENENGAH,100-500,Baik,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,TINGGI,DASAR,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,Peternakan,SMAS,IPS,MENENGAH,TINGGI,2.000-5.000,Kurang,Memuaskan
Laki-laki,PWK,SMAN,IPS,TINGGI,TINGGI,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMKN,TEKNIK,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMAS,IPS,MENENGAH,MENENGAH,500-1.000,Sangat Baik,Memuaskan
Laki-laki,PWK,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,PWK,SMAN,IPS,DASAR,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPS,MENENGAH,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,MENENGAH,TINGGI,5.000-20.000,Cukup,Sangat Memuaskan
Laki-laki,PWK,SMKN,TEKNIK,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,PWK,SMKS,TEKNIK,MENENGAH,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Laki-laki,PWK,SMKN,TEKNIK,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMKN,TEKNIK,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,MENENGAH,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,PWK,MAS,IPA,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,SI,SMKN,TEKNIK,TINGGI,DASAR,1.000-2.000,Cukup,Memuaskan
Laki-laki,SI,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,SI,SMAN,IPA,MENENGAH,DASAR,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,SI,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,SI,SMKS,TEKNIK,DASAR,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Perempuan,SI,SMAS,IPS,MENENGAH,TINGGI,5.000-20.000,Baik,Sangat Memuaskan
Perempuan,SI,SMKN,TEKNIK,MENENGAH,MENENGAH,2.000-5.000,Sangat Baik,Sangat Memuaskan
Laki-laki,SI,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,SI,SMAS,IPA,TINGGI,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,SI,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,SI,SMKN,TEKNIK,TINGGI,MENENGAH,100-500,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAS,IPS,MENENGAH,MENENGAH,500-1.000,Kurang,Memuaskan
Laki-laki,Peternakan,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPS,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,PWK,MAN,IPA,MENENGAH,DASAR,5.000-20.000,Kurang,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,DASAR,MENENGAH,500-1.000,Kurang,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,PWK,MAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,MENENGAH,DASAR,5.000-20.000,Baik,Sangat Memuaskan
Laki-laki,Biologi,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Perempuan,Kimia,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Laki-laki,Kimia,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Perempuan,Kimia,MAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Perempuan,Kimia,MAN,IPA,MENENGAH,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Kimia,SMKS,TEKNIK,DASAR,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,Biologi,MAN,IPA,DASAR,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Biologi,MAN,IPA,MENENGAH,DASAR,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,SI,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Kimia,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Kimia,SMAS,IPS,MENENGAH,DASAR,100-500,Baik,Memuaskan
Perempuan,Kimia,SMAN,IPA,TINGGI,DASAR,500-1.000,Baik,Sangat Memuaskan
Perempuan,Kimia,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Perempuan,SI,SMKN,TEKNIK,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Perempuan,Matematika,MAN,IPA,DASAR,MENENGAH,500-1.000,Kurang,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPA,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Matematika,MAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,SI,SMAN,IPS,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,SI,SMAN,IPA,DASAR,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Perempuan,Kimia,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Kimia,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Perempuan,Kimia,SMAN,IPA,MENENGAH,MENENGAH,100-500,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,TINGGI,DASAR,2.000-5.000,Kurang,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,DASAR,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,TINGGI,DASAR,500-1.000,Baik,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,MENENGAH,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Fisika,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Laki-laki,Fisika,SMAN,IPA,MENENGAH,MENENGAH,100-500,Baik,Sangat Memuaskan
Laki-laki,Kimia,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Kimia,MAN,IPS,DASAR,DASAR,500-1.000,Baik,Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMKN,PERTANIAN,MENENGAH,MENENGAH,5.000-20.000,Kurang,Memuaskan
Perempuan,PWK,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,MENENGAH,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,SI,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Perempuan,SI,SMAN,IPA,DASAR,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPS,MENENGAH,DASAR,100-500,Kurang,Sangat Memuaskan
Perempuan,SI,SMAS,IPA,TINGGI,MENENGAH,2.000-5.000,Kurang,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,SI,SMKN,TEKNIK,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,SI,MAS,IPS,DASAR,MENENGAH,100-500,Baik,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,DASAR,MENENGAH,100-500,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,TI,SMAS,IPA,DASAR,DASAR,2.000-5.000,Kurang,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,MENENGAH,MENENGAH,100-500,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Biologi,SMAS,IPS,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Matematika,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAS,IPS,MENENGAH,MENENGAH,1.000-2.000,Baik,Memuaskan
Laki-laki,Peternakan,SMAS,IPS,TINGGI,MENENGAH,2.000-5.000,Baik,Memuaskan
Laki-laki,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMKN,TEKNIK,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Kurang,Cumlaude
Laki-laki,Arsitektur,SMAS,IPS,MENENGAH,TINGGI,2.000-5.000,Baik,Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,TINGGI,TINGGI,5.000-20.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,DASAR,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Arsitektur,MAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,MENENGAH,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,DASAR,DASAR,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Arsitektur,MAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,TI,SMAS,IPA,TINGGI,MENENGAH,5.000-20.000,Baik,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,MENENGAH,DASAR,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Kimia,SMAS,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Perempuan,Kimia,SMAN,IPA,MENENGAH,DASAR,500-1.000,Baik,Sangat Memuaskan
Perempuan,Matematika,SMAS,IPA,MENENGAH,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Matematika,SMKN,EKONOMI,MENENGAH,TINGGI,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,Matematika,SMAS,IPA,MENENGAH,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Matematika,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Perempuan,Matematika,SMAS,IPS,DASAR,DASAR,500-1.000,Cukup,Cumlaude
Perempuan,Peternakan,SMAN,IPA,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,MENENGAH,MENENGAH,5.000-20.000,Baik,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,PWK,MAN,IPA,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,DASAR,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,PWK,SMAN,IPS,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,SI,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,TINGGI,MENENGAH,500-1.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,TINGGI,TINGGI,5.000-20.000,Baik,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,MENENGAH,DASAR,5.000-20.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,MENENGAH,MENENGAH,5.000-20.000,Baik,Sangat Memuaskan
Laki-laki,TI,SMAS,IPS,MENENGAH,DASAR,1.000-2.000,Baik,Memuaskan
Laki-laki,TI,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,TINGGI,TINGGI,5.000-20.000,Cukup,Cumlaude
Perempuan,Biologi,SMKS,TEKNIK,MENENGAH,DASAR,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPS,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPS,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Perempuan,Biologi,MAS,IPS,TINGGI,TINGGI,2.000-5.000,Baik,Cumlaude
Perempuan,Biologi,SMAS,IPS,MENENGAH,MENENGAH,500-1.000,Cukup,Cumlaude
Perempuan,Biologi,SMAS,IPS,MENENGAH,MENENGAH,100-500,Kurang,Cumlaude
Perempuan,Kimia,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Kimia,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
